es,en,pt,it
perro,dog,cão,cane
gato,cat,gato,gatto
cielo,sky,céu,cielo
aire,air,ar,aria
mamá,mother,mãe,mamma
papá,father,pai,Papà
casa,house,casa,casa
escuela,school,escola,scuola
bolsa,bag,bolsa,borsa
dinero,money,dinheiro,soldi
manzana,apple,maçã,mela
mesa,table,mesa,tavolo
cama,bed,cama,letto
silla,chair,cadeira,sedia
clock,reloj,relogio,orologio
espacio,space,espaco,spazio
luna,moon,lua,luna
sol,sun,sol,sole
calendario,calendar,calendário,calendario
amor,love,amor,amore
el,the,il,o
la,the,la,a
computadora,computer,computador,computer
zapato,shoe,sapato,scarpa